,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr,tnr,fpr,fnr
logistic_regression,0.90076,0.004282655246252677,0.9142857142857143,0.008525376315438924,0.9737904355365836,0.34611128209279574,0.9142857142857143,0.9007536850530248,0.09924631494697525,0.08571428571428572
xgboost,0.99956,0.5166666666666667,0.8857142857142857,0.6526315789473685,0.9764526302750808,0.8543880357359717,0.8857142857142857,0.9996131528046421,0.00038684719535783365,0.11428571428571428
random_forest,0.9998666666666667,0.8205128205128205,0.9142857142857143,0.8648648648648649,0.9552143381196938,0.8961070495582056,0.9142857142857143,0.9999066230907757,9.337690922430467e-05,0.08571428571428572
lightgbm,0.9998933333333333,0.8648648648648649,0.9142857142857143,0.8888888888888888,0.9771988832883917,0.9135674825589675,0.9142857142857143,0.9999333022076969,6.669779230307477e-05,0.08571428571428572
